year,duration,NAR,block,treat,NP,np,NR,ESNpie,beta,gamma,ANPP,BNPP,PAR
2020,3,6,2,1,1,N1P0,5,1.347030099,0.3006646,25,246.43,33.78,20.68
2020,3,4,2,2,2,N1P1,2,1.304851654,0.1909716,27,197.25,101.34,17.98
2020,3,3,2,2,0,N0P0,3,3.088344444,0.2814538,41,175.18,109.13,47.25
2020,3,7,2,3,2,N1P1,5,1.32168352,0.3233501,26,149.81,38.98,10.13
2020,3,3,2,3,2,N1P1,1,1.148259361,0.3248435,29,315.34,168.9,20.8
2020,3,6,2,2,2,N1P1,4,1.087234236,0.3736301,22,156.38,67.56,24.87
2020,3,0,2,2,0,N0P0,0,3.122455586,0.4475146,36,191.11,207.88,42.46
2020,3,4,2,1,0,N0P0,4,2.550884703,0.3129501,37,187.63,93.54,44.96
2020,3,2,2,1,0,N0P0,2,4.486559371,0.3642129,42,197.47,62.36,44.26
2020,3,2,2,3,2,N1P1,0,1.391028977,0.3307042,29,221.06,80.55,10.7
2020,3,6,2,3,2,N1P1,4,1.778889109,0.3808058,25,146.96,23.39,21.84
2020,3,7,3,2,2,N1P1,5,1.22092569,0.4341098,27,187.35,36.38,8.99
2020,3,5,3,2,1,N1P0,4,1.504111585,0.2675955,28,245.73,96.14,9.28
2020,3,5,3,3,2,N1P1,3,1.317228055,0.2538364,24,179.85,28.58,2.67
2020,3,2,3,1,0,N0P0,2,4.151446294,0.3642129,42,291.12,109.13,24.94
2020,3,4,3,3,1,N1P0,3,2.061824577,0.1591422,30,258.92,137.72,24.02
2020,3,0,3,1,0,N0P0,0,2.549044176,0.2580695,33,199.32,57.17,33.62
2020,3,7,3,1,1,N1P0,6,1.152036301,0.3786252,28,211.53,46.77,7.25
2020,3,6,3,2,2,N1P1,4,1.037499324,0.3736301,22,214.26,72.76,10.34
2020,3,0,3,2,0,N0P0,0,2.772217211,0.4475146,36,173.25,67.56,33.67
2020,3,3,3,1,0,N0P0,3,3.998447822,0.3488697,32,210.59,96.14,40.93
2020,3,8,3,3,2,N1P1,6,1.126936294,0.3975384,22,228.4,25.98,13.36
2020,3,2,3,2,0,N0P0,2,4.316514341,0.2966146,38,155.19,38.98,54.72
2020,3,5,3,1,1,N1P0,4,1.365759677,0.3705701,32,180.64,158.51,19.44
2020,3,3,3,3,2,N1P1,1,1.056458874,0.3248435,29,178.25,114.33,23
2020,3,4,3,1,0,N0P0,4,3.354885352,0.3129501,37,199.28,36.38,33.47
2020,3,3,3,2,0,N0P0,3,3.675929297,0.2814538,41,202.32,46.77,36.26
2020,3,6,3,1,1,N1P0,5,1.232614797,0.3006646,25,280.77,75.35,12.37
2020,3,4,3,2,2,N1P1,2,4.276412776,0.1909716,27,368.34,54.57,11.64
2020,3,7,3,3,2,N1P1,5,1.321164815,0.3233501,26,302.38,122.13,3.22
2020,3,2,3,3,2,N1P1,0,1.155848412,0.3307042,29,267.2,137.72,12.58
2020,3,6,3,3,2,N1P1,4,1.328609695,0.3808058,25,291.86,226.06,6.46
2020,3,0,4,2,0,N0P0,0,5.180294161,0.4475146,36,221.22,161.1,37.65
2020,3,3,4,1,0,N0P0,3,4.619061715,0.3488697,32,194.79,171.5,39.2
2020,3,6,4,2,2,N1P1,4,1.070753172,0.3736301,22,130.47,101.34,2.21
2020,3,6,4,3,2,N1P1,4,1.128223085,0.3808058,25,209.29,129.92,2.77
2020,3,0,4,1,0,N0P0,0,3.263714527,0.2580695,33,234.39,72.76,48.95
2020,3,3,4,3,2,N1P1,1,2.010685036,0.3248435,29,207.85,129.92,13.4
2020,3,5,4,3,2,N1P1,3,1.154748628,0.2538364,24,162.57,75.35,5.47
2020,3,4,4,2,2,N1P1,2,1.09124506,0.1909716,27,373.45,90.95,2.3
2020,3,8,4,3,2,N1P1,6,1.04888982,0.3975384,22,298.98,210.47,9.44
2020,3,6,4,1,1,N1P0,5,1.028692572,0.3006646,25,328.27,10.39,10.7
2020,3,5,4,1,1,N1P0,4,1.727635199,0.3705701,32,284.93,23.39,10.54
2020,3,7,4,2,2,N1P1,5,1.177851191,0.4341098,27,233.72,33.78,4.88
2020,3,4,4,1,0,N0P0,4,5.884665992,0.3129501,37,260.37,31.18,45.09
2020,3,3,4,2,0,N0P0,3,4.306374461,0.2814538,41,173.52,25.98,52.21
2020,3,4,4,3,1,N1P0,3,1.483686758,0.1591422,30,292.26,59.76,4.26
2020,3,2,4,3,2,N1P1,0,1.14987073,0.3307042,29,407.64,85.75,4.48
2020,3,7,4,3,2,N1P1,5,1.077572102,0.3233501,26,397.64,285.83,4.86
2020,3,5,4,2,1,N1P0,4,1.298418094,0.2675955,28,305.49,106.54,16.18
2020,3,2,4,1,0,N0P0,2,3.660636281,0.3642129,42,204.4,103.94,34.6
2020,3,2,4,2,0,N0P0,2,4.845684455,0.2966146,38,220.29,122.13,36.42
2020,3,7,4,1,1,N1P0,6,1.790491948,0.3786252,28,237.1,85.75,14.88
2020,3,5,5,1,1,N1P0,4,1.261669286,0.3705701,32,229.53,80.55,7.78
2020,3,4,5,2,2,N1P1,2,1.01453674,0.1909716,27,325.69,140.32,0.66
